Date,Time,Open,High,Low,Adj Close,Volumne
2021.12.01,0:00,56953.44,57039.93,56649.28,56828.3,501
2021.12.01,0:05,56826.83,57243.39,56733.61,57171.04,429
2021.12.01,0:10,57156.75,57530.34,57136.86,57225.42,493
2021.12.01,0:15,57218.7,57440.09,57213.53,57404.38,447
2021.12.01,0:20,57407.39,57452.79,57362.48,57428.55,371
2021.12.01,0:25,57430.92,57529.01,57350.39,57522.8,349
2021.12.01,0:30,57525.35,57662.11,57429.99,57432.24,418
2021.12.01,0:35,57440.2,57447.1,57213.56,57318.31,411
2021.12.01,0:40,57313.99,57485.15,57303.53,57371.2,371
2021.12.01,0:45,57372.24,57540.89,57340.99,57512.33,377
2021.12.01,0:50,57509.11,57699.94,57461.01,57623.29,377
2021.12.01,0:55,57619.53,57658.16,57514.7,57583.3,395
2021.12.01,1:00,57586.77,57594.05,57467.03,57481.83,359
2021.12.01,1:05,57477.71,57490.99,57386.32,57428.7,360
2021.12.01,1:10,57431.34,57431.34,57266.79,57338.15,375
2021.12.01,1:15,57342.03,57348.1,57090.06,57118.98,404
2021.12.01,1:20,57121.59,57224.41,57100,57142.2,352
2021.12.01,1:25,57144.52,57178.94,56975.53,57095.04,341
2021.12.01,1:30,57101.57,57244.08,57054.2,57244.08,340
2021.12.01,1:35,57244.68,57261.21,57026.01,57026.01,322
2021.12.01,1:40,57019.23,57095.57,56892.04,57081.23,359
2021.12.01,1:45,57085.65,57203.79,56993.36,57187.53,342
2021.12.01,1:50,57189.89,57195.9,57007.42,57037.79,343
2021.12.01,1:55,57039.5,57124.61,56984.05,57000.34,338
2021.12.01,2:00,56999.17,57089.71,56982.56,57030.79,346
2021.12.01,2:05,57022.93,57101.48,56894.55,56904.97,352
2021.12.01,2:10,56910.17,56950.96,56806.06,56857.17,360
2021.12.01,2:15,56860.25,56941.07,56787.86,56833.7,338
2021.12.01,2:20,56835.47,56858.73,56786.74,56821.77,326
2021.12.01,2:25,56817.07,56908.84,56809.78,56907.83,324
2021.12.01,2:30,56909.09,57038.6,56881.01,56951.79,339
2021.12.01,2:35,56955.56,57090.06,56946.96,57001.36,341
2021.12.01,2:40,57006.79,57186.05,56953.29,57157.53,334
2021.12.01,2:45,57160.98,57335.16,57123.97,57335.16,325
2021.12.01,2:50,57324.12,57366.89,57259.87,57298.36,349
2021.12.01,2:55,57300.09,57300.41,57221.71,57271.08,326
2021.12.01,3:00,57267.83,57316.61,57189.67,57226.58,332
